seed,timeout,time,iter,total,bv,dc,2r,2d,ps,mx,fl,rp,pp
1898715820279997440,200,185.24,5494685,21402,0,0,8037,5625,4585,0,105,0,3050
6226693453060354048,200,192.65,5789761,19676,0,0,9846,3625,4595,0,110,0,1500
